corte_denue,id,clee,nom_estab,raz_social,clave_norm,codigo_act,nombre_act,per_ocu,estrato_min,cod_postal,cve_ent,entidad,cve_mun,municipio,localidad,nomb_asent,nom_vial,numero_ext,dominio_correo,www,latitud,longitud,fecha_alta,sitios_nacionales,piso_aplicado,motivo_ingreso,es_punto_venta,excluido_por
2026-05,6367208,19038461130000021002000000U2,DELCITRO,DELCITRO,DELCITRO,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,51 a 100 personas,51,67520,19,Nuevo León,038,Montemorelos,Montemorelos,MENDIVIL,CUAUHTÉMOC,1400,gmail.com,,25.18958654,-99.81809017,2012-06,,101,pendiente_rescate,no,
2026-05,6806827,19038311350000016001010237S8,EFFEM MEXICO INC Y COMPANIA,EFFEM MEXICO INC Y COMPAÑIA,EFFEM MEXICO INC Y COMPANIA,311350,Elaboración de chocolate y productos de chocolate,251 y más personas,251,67560,19,Nuevo León,038,Montemorelos,Clave Economica,CASAS,NINGUNO,,effem.com,WWW.MARS.COM,25.23177131,-99.80775979,2017-11,,101,piso_estrato,no,
2026-05,6269200,19038311422000027100008425M2,INDUSTRIAS CITRICOLAS DE MONTEMORELOS,INDUSTRIAS CITRICOLAS DE MONTEMORELOS,INDUSTRIAS CITRICOLAS DE MONTEMORELOS,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,251 y más personas,251,67580,19,Nuevo León,038,Montemorelos,Montemorelos,JOSE MARIA PARAS,CAPELLANÍA,,delmonte.com,,25.19860367,-99.80900455,2010-07,,101,piso_estrato,no,
2026-05,2996689,19039431192000103011061000S4,MARVIRIDI,MARVIRIDI,MARVIRIDI,311910,Elaboración de botanas,51 a 100 personas,51,67610,19,Nuevo León,038,Montemorelos,Congregación Calles,CONGREGACION CALLES,RICARDO RODRIGUEZ A KM. 1,1,marviridi.com,WWW.MARVIRIDI.COM,25.22798452,-99.93341335,2014-12,,101,pendiente_rescate,no,
2026-05,8764865,19038311513000045101020032M0,PRODUCTOS ALIMENTICIOS DE MONTEMORELOS,PRODUCTOS ALIMENTICIOS DE MONTEMORELOS,PRODUCTOS ALIMENTICIOS DE MONTEMORELOS,311513,Elaboración de derivados y fermentos lácteos,31 a 50 personas,31,67614,19,Nuevo León,038,Montemorelos,La Soledad,NINGUNO,NINGUNO,,kykmex.com,,25.16576204,-99.79414132,2019-11,,51,pendiente_rescate,no,
2026-05,6367308,19038311611000015001000000U5,RASTRO EMPACADORA EL ALBA,RASTRO EMPACADORA EL ALBA,RASTRO EMPACADORA EL ALBA,311611,"Matanza de ganado, aves y otros animales comestibles",101 a 250 personas,101,67510,19,Nuevo León,038,Montemorelos,Los Reyes,CONGREGACION CALLES,NINGUNO,,elalba.mx,WWW.ELALBA.MX,25.24191514,-99.92198012,2026-04,,101,piso_estrato,no,
2026-05,6367309,19005311110000014102000000U0,SERVICIOS AGROPECUARIOS CANOAS,SERVICIOS AGROPECUARIOS CANOAS,SERVICIOS AGROPECUARIOS CANOAS,311110,Elaboración de alimentos para animales,31 a 50 personas,31,67610,19,Nuevo León,038,Montemorelos,La Curva (Los Tamez),CONGREGACION CANOAS,CARRETERA NACIONAL KM 220,,prodigy.net.mx,,25.24275464,-99.97608455,2014-12,,101,pendiente_rescate,no,
2026-05,12299655,19039312144000025000006647S3,OFICINA ADMINISTRATIVA MTY,BACARDI Y COMPAÑIA,BACARDI Y COMPANIA,312144,Elaboración de tequila,51 a 100 personas,51,64060,19,Nuevo León,039,Monterrey,Monterrey,OBISPADO,BELISARIO DOMINGUEZ,2020,bacardi.com,BACARDI.COM,25.67204153,-100.34283193,2026-04,,51,piso_estrato,no,
2026-05,6366204,19039312111000177000008191M1,BEBIDAS MUNDIALES SUC. 3323 PTA INSURGENTES,BEBIDAS MUNDIALES,BEBIDAS MUNDIALES,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,251,64630,19,Nuevo León,039,Monterrey,Monterrey,COLINAS DE SAN JERONIMO,ANILLO PERIFÉRICO,1618,,,25.67693237,-100.3684543,2010-07,,51,piso_estrato,no,
2026-05,6235101,19039311910000197002002859S5,1083 CAJA SANISSIMO,BIMBO,BIMBO,311910,Elaboración de botanas,251 y más personas,251,64410,19,Nuevo León,039,Monterrey,Monterrey,BELLAVISTA,MANUEL DE LA PEÑA Y PEÑA,1020,grupobimbo.com,WWW.BIMBO.COM.MX,25.70210542,-100.32286828,2010-07,,101,piso_estrato,no,
2026-05,6236242,19039311811000077000002859S9,1081 CAJA BIMBO MONTERREY,BIMBO,BIMBO,311811,Panificación industrial,251 y más personas,251,64510,19,Nuevo León,039,Monterrey,Monterrey,COYOACAN,FÉLIX URESTI GÓMEZ,4203,grupobimbo.com,WWW.BIMBO.COM.MX,25.70731317,-100.28256962,2010-07,,101,piso_estrato,no,
2026-05,10558853,19039311230000034000000000U3,BERRY NUTS,BN MIXES,BN MIXES,311230,Elaboración de cereales para el desayuno,31 a 50 personas,31,64350,19,Nuevo León,039,Monterrey,Monterrey,VALLE DE INFONAVIT DOS,DIA DEL TRABAJO,4812,bnmixes.com,WWW.BERRYNUTS.MX,25.73346651,-100.38064936,2024-11,,101,pendiente_rescate,no,
2026-05,6366048,19039312221000037000000000U4,BRITISH AMERICAN TOBACCO MEXICO,BRITISH AMERICAN TOBACCO MEXICO,BRITISH AMERICAN TOBACCO MEXICO,312221,Elaboración de cigarros,251 y más personas,251,64000,19,Nuevo León,039,Monterrey,Monterrey,CENTRO,FRANCISCO I. MADERO,2750,bat.com,WWW.BATMEXICO.COM.MX,25.68656321,-100.339267,2010-07,,51,piso_estrato,no,
2026-05,2982455,19026311922000013102000000U6,CAFE EL GRANDE,CAFETERA EL GRANDE,CAFETERA EL GRANDE,311922,Elaboración de café tostado y molido,51 a 100 personas,51,67147,19,Nuevo León,039,Monterrey,Monterrey,COLONIA CENTRO,JOSÉ ALVARADO,1840,cafeelgrande.com,WWW.CAFEELGRANDE.COM,25.66026503,-100.28049361,2010-07,,101,pendiente_rescate,no,
2026-05,6235104,19039312120000017000040233M0,HEINEKEN PLANTA MONTERREY,CERVECERIA CUAUHTEMOC MOCTEZUMA,CERVECERIA CUAUHTEMOC MOCTEZUMA,312120,Elaboración de cerveza,251 y más personas,251,64410,19,Nuevo León,039,Monterrey,Monterrey,DEL PRADO,ALFONSO REYES,2202,heineken.com,,25.69336734,-100.31660036,2010-07,,51,piso_estrato,no,
2026-05,8779090,19039461140000644110000000U8,CIBUM TECNOLOGIA,CIBUM TECNOLOGIA,CIBUM TECNOLOGIA,311940,Elaboración de condimentos y aderezos,31 a 50 personas,31,64720,19,Nuevo León,039,Monterrey,Monterrey,INDEPENDENCIA,VERACRUZ,604,,,25.66012733,-100.31861947,2019-11,,101,pendiente_rescate,no,
2026-05,6370340,19039311422000011102008410M4,CITROFRUT,CITROFRUT,CITROFRUT,311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",101 a 250 personas,101,64000,19,Nuevo León,039,Monterrey,Monterrey,CENTRO,LICENCIADO BENITO JUAREZ,1102,citrofrut.com,WWW.CITROFRUT.COM,25.66576644,-100.3159807,2010-07,,101,piso_estrato,no,
